datetime_beginning_utc,datetime_beginning_ept,area,solar_generation_mw
9/29/2020 18:00,9/29/2020 14:00,RTO,651.588
9/29/2020 18:00,9/29/2020 14:00,RFC,188.715
9/29/2020 18:00,9/29/2020 14:00,OTHER,0
9/29/2020 17:00,9/29/2020 13:00,MIDATL,236.803
9/29/2020 17:00,9/29/2020 13:00,SOUTH,464.661
9/29/2020 17:00,9/29/2020 13:00,WEST,18.514
9/29/2020 17:00,9/29/2020 13:00,RTO,719.978
9/29/2020 17:00,9/29/2020 13:00,RFC,255.317
9/29/2020 17:00,9/29/2020 13:00,OTHER,0
9/29/2020 16:00,9/29/2020 12:00,MIDATL,213.017
9/29/2020 16:00,9/29/2020 12:00,SOUTH,488.057
9/29/2020 16:00,9/29/2020 12:00,WEST,32.879
9/29/2020 16:00,9/29/2020 12:00,RTO,733.953
9/29/2020 16:00,9/29/2020 12:00,RFC,245.896
9/29/2020 16:00,9/29/2020 12:00,OTHER,0
9/29/2020 15:00,9/29/2020 11:00,MIDATL,137.965
9/29/2020 15:00,9/29/2020 11:00,SOUTH,370.65
9/29/2020 15:00,9/29/2020 11:00,WEST,36.679
9/29/2020 15:00,9/29/2020 11:00,RTO,545.294
9/29/2020 15:00,9/29/2020 11:00,RFC,174.644
9/29/2020 15:00,9/29/2020 11:00,OTHER,0
9/29/2020 14:00,9/29/2020 10:00,MIDATL,153.019
9/29/2020 14:00,9/29/2020 10:00,SOUTH,364.442
9/29/2020 14:00,9/29/2020 10:00,WEST,40.073
9/29/2020 14:00,9/29/2020 10:00,RTO,557.534
9/29/2020 14:00,9/29/2020 10:00,RFC,193.092
9/29/2020 14:00,9/29/2020 10:00,OTHER,0
9/29/2020 13:00,9/29/2020 9:00,MIDATL,171.612
9/29/2020 13:00,9/29/2020 9:00,SOUTH,195.449
9/29/2020 13:00,9/29/2020 9:00,WEST,16.457
9/29/2020 13:00,9/29/2020 9:00,RTO,383.518
9/29/2020 13:00,9/29/2020 9:00,RFC,188.069
9/29/2020 13:00,9/29/2020 9:00,OTHER,0
9/29/2020 12:00,9/29/2020 8:00,MIDATL,58.471
9/29/2020 12:00,9/29/2020 8:00,SOUTH,131.954
9/29/2020 12:00,9/29/2020 8:00,WEST,4.5
9/29/2020 12:00,9/29/2020 8:00,RTO,194.925
9/29/2020 12:00,9/29/2020 8:00,RFC,62.971
