datetime_beginning_utc,datetime_beginning_ept,area,wind_generation_mw
9/29/2020 17:00,9/29/2020 13:00,SOUTH,14.214
9/29/2020 17:00,9/29/2020 13:00,WEST,1139.566
9/29/2020 17:00,9/29/2020 13:00,RTO,1215.74
9/29/2020 17:00,9/29/2020 13:00,RFC,1201.526
9/29/2020 16:00,9/29/2020 12:00,MIDATL,94.918
9/29/2020 16:00,9/29/2020 12:00,SOUTH,34.13
9/29/2020 16:00,9/29/2020 12:00,WEST,1068.807
9/29/2020 16:00,9/29/2020 12:00,RTO,1197.855
9/29/2020 16:00,9/29/2020 12:00,RFC,1163.725
9/29/2020 15:00,9/29/2020 11:00,MIDATL,126.757
9/29/2020 15:00,9/29/2020 11:00,SOUTH,19.657
9/29/2020 15:00,9/29/2020 11:00,WEST,613.34
9/29/2020 15:00,9/29/2020 11:00,RTO,759.754
9/29/2020 15:00,9/29/2020 11:00,RFC,740.097
9/29/2020 14:00,9/29/2020 10:00,MIDATL,152.333
9/29/2020 14:00,9/29/2020 10:00,SOUTH,41.223
9/29/2020 14:00,9/29/2020 10:00,WEST,422.489
9/29/2020 14:00,9/29/2020 10:00,RTO,616.045
9/29/2020 14:00,9/29/2020 10:00,RFC,574.822
9/29/2020 13:00,9/29/2020 9:00,MIDATL,230.66
9/29/2020 13:00,9/29/2020 9:00,SOUTH,38.848
9/29/2020 13:00,9/29/2020 9:00,WEST,523.407
9/29/2020 13:00,9/29/2020 9:00,RTO,792.915
9/29/2020 13:00,9/29/2020 9:00,RFC,754.067
9/29/2020 12:00,9/29/2020 8:00,MIDATL,292.361
9/29/2020 12:00,9/29/2020 8:00,SOUTH,66.522
9/29/2020 12:00,9/29/2020 8:00,WEST,1089.329
9/29/2020 12:00,9/29/2020 8:00,RTO,1448.212
9/29/2020 12:00,9/29/2020 8:00,RFC,1381.69
9/29/2020 11:00,9/29/2020 7:00,MIDATL,357.605
9/29/2020 11:00,9/29/2020 7:00,SOUTH,75.014
9/29/2020 11:00,9/29/2020 7:00,WEST,1347.873
9/29/2020 11:00,9/29/2020 7:00,RTO,1780.492
9/29/2020 11:00,9/29/2020 7:00,RFC,1705.478
9/29/2020 10:00,9/29/2020 6:00,MIDATL,428.531
9/29/2020 10:00,9/29/2020 6:00,SOUTH,81.113
9/29/2020 10:00,9/29/2020 6:00,WEST,1463.924
9/29/2020 10:00,9/29/2020 6:00,RTO,1973.568
9/29/2020 10:00,9/29/2020 6:00,RFC,1892.455
9/29/2020 9:00,9/29/2020 5:00,MIDATL,442.339
9/29/2020 9:00,9/29/2020 5:00,SOUTH,88.91
9/29/2020 9:00,9/29/2020 5:00,WEST,1599.315
9/29/2020 9:00,9/29/2020 5:00,RTO,2130.564
9/29/2020 9:00,9/29/2020 5:00,RFC,2041.654
9/29/2020 8:00,9/29/2020 4:00,MIDATL,461.926
9/29/2020 8:00,9/29/2020 4:00,SOUTH,98.194
9/29/2020 8:00,9/29/2020 4:00,WEST,1984.971
9/29/2020 8:00,9/29/2020 4:00,RTO,2545.091
9/29/2020 8:00,9/29/2020 4:00,RFC,2446.897
9/29/2020 7:00,9/29/2020 3:00,MIDATL,402.892
9/29/2020 7:00,9/29/2020 3:00,SOUTH,56.558
9/29/2020 7:00,9/29/2020 3:00,WEST,2006.735
9/29/2020 7:00,9/29/2020 3:00,RTO,2466.185
9/29/2020 7:00,9/29/2020 3:00,RFC,2409.627
9/29/2020 6:00,9/29/2020 2:00,MIDATL,471.182
9/29/2020 6:00,9/29/2020 2:00,SOUTH,33.686
9/29/2020 6:00,9/29/2020 2:00,WEST,2038.78
9/29/2020 6:00,9/29/2020 2:00,RTO,2543.648
9/29/2020 6:00,9/29/2020 2:00,RFC,2509.962
9/29/2020 5:00,9/29/2020 1:00,MIDATL,571.916
9/29/2020 5:00,9/29/2020 1:00,SOUTH,62.536
9/29/2020 5:00,9/29/2020 1:00,WEST,2039.366
9/29/2020 5:00,9/29/2020 1:00,RTO,2673.818
9/29/2020 5:00,9/29/2020 1:00,RFC,2611.282
9/29/2020 4:00,9/29/2020 0:00,MIDATL,658.751
9/29/2020 4:00,9/29/2020 0:00,SOUTH,62.32
9/29/2020 4:00,9/29/2020 0:00,WEST,2222.637
9/29/2020 4:00,9/29/2020 0:00,RTO,2943.708
9/29/2020 4:00,9/29/2020 0:00,RFC,2881.388
9/29/2020 3:00,9/28/2020 23:00,MIDATL,706.704
9/29/2020 3:00,9/28/2020 23:00,SOUTH,74.843
9/29/2020 3:00,9/28/2020 23:00,WEST,2500.454
9/29/2020 3:00,9/28/2020 23:00,RTO,3282.001
9/29/2020 3:00,9/28/2020 23:00,RFC,3207.158
9/29/2020 2:00,9/28/2020 22:00,MIDATL,686.738
9/29/2020 2:00,9/28/2020 22:00,SOUTH,86.588
9/29/2020 2:00,9/28/2020 22:00,WEST,2643.578
9/29/2020 2:00,9/28/2020 22:00,RTO,3416.904
9/29/2020 2:00,9/28/2020 22:00,RFC,3330.316
9/29/2020 1:00,9/28/2020 21:00,MIDATL,653.202
9/29/2020 1:00,9/28/2020 21:00,SOUTH,83.968
9/29/2020 1:00,9/28/2020 21:00,WEST,2513.834
9/29/2020 1:00,9/28/2020 21:00,RTO,3251.004
9/29/2020 1:00,9/28/2020 21:00,RFC,3167.036
9/29/2020 0:00,9/28/2020 20:00,MIDATL,647.079
9/29/2020 0:00,9/28/2020 20:00,SOUTH,63.352
9/29/2020 0:00,9/28/2020 20:00,WEST,2250.303
9/29/2020 0:00,9/28/2020 20:00,RTO,2960.734
9/29/2020 0:00,9/28/2020 20:00,RFC,2897.382
9/28/2020 23:00,9/28/2020 19:00,MIDATL,569.128
9/28/2020 23:00,9/28/2020 19:00,SOUTH,33.673
9/28/2020 23:00,9/28/2020 19:00,WEST,2687.129
9/28/2020 23:00,9/28/2020 19:00,RTO,3289.93
9/28/2020 23:00,9/28/2020 19:00,RFC,3256.257
9/28/2020 22:00,9/28/2020 18:00,MIDATL,427.64
9/28/2020 22:00,9/28/2020 18:00,SOUTH,29.495
9/28/2020 22:00,9/28/2020 18:00,WEST,3268.536
9/28/2020 22:00,9/28/2020 18:00,RTO,3725.671
9/28/2020 22:00,9/28/2020 18:00,RFC,3696.176
9/28/2020 21:00,9/28/2020 17:00,MIDATL,352.999
9/28/2020 21:00,9/28/2020 17:00,SOUTH,39.238
9/28/2020 21:00,9/28/2020 17:00,WEST,3307.238
9/28/2020 21:00,9/28/2020 17:00,RTO,3699.475
9/28/2020 21:00,9/28/2020 17:00,RFC,3660.237
9/28/2020 20:00,9/28/2020 16:00,MIDATL,300.64
9/28/2020 20:00,9/28/2020 16:00,SOUTH,16.585
9/28/2020 20:00,9/28/2020 16:00,WEST,3770.42
9/28/2020 20:00,9/28/2020 16:00,RTO,4087.645
9/28/2020 20:00,9/28/2020 16:00,RFC,4071.06
9/28/2020 19:00,9/28/2020 15:00,MIDATL,273.944
9/28/2020 19:00,9/28/2020 15:00,SOUTH,4.675
9/28/2020 19:00,9/28/2020 15:00,WEST,3855.919
9/28/2020 19:00,9/28/2020 15:00,RTO,4134.538
9/28/2020 19:00,9/28/2020 15:00,RFC,4129.863
9/28/2020 18:00,9/28/2020 14:00,MIDATL,215.015
9/28/2020 18:00,9/28/2020 14:00,SOUTH,2.744
9/28/2020 18:00,9/28/2020 14:00,WEST,3074.541
9/28/2020 18:00,9/28/2020 14:00,RTO,3292.3
9/28/2020 18:00,9/28/2020 14:00,RFC,3289.556
9/28/2020 17:00,9/28/2020 13:00,MIDATL,175.796
9/28/2020 17:00,9/28/2020 13:00,SOUTH,0.674
9/28/2020 17:00,9/28/2020 13:00,WEST,2347.778
9/28/2020 17:00,9/28/2020 13:00,RTO,2524.248
9/28/2020 17:00,9/28/2020 13:00,RFC,2523.574
9/28/2020 16:00,9/28/2020 12:00,MIDATL,181.791
9/28/2020 16:00,9/28/2020 12:00,SOUTH,3.447
9/28/2020 16:00,9/28/2020 12:00,WEST,1530.901
9/28/2020 16:00,9/28/2020 12:00,RTO,1716.139
9/28/2020 16:00,9/28/2020 12:00,RFC,1712.692
9/28/2020 15:00,9/28/2020 11:00,MIDATL,185.197
9/28/2020 15:00,9/28/2020 11:00,SOUTH,0.776
9/28/2020 15:00,9/28/2020 11:00,WEST,1096.82
9/28/2020 15:00,9/28/2020 11:00,RTO,1282.793
9/28/2020 15:00,9/28/2020 11:00,RFC,1282.017
9/28/2020 14:00,9/28/2020 10:00,MIDATL,123.246
9/28/2020 14:00,9/28/2020 10:00,SOUTH,3.827
9/28/2020 14:00,9/28/2020 10:00,WEST,940.204
9/28/2020 14:00,9/28/2020 10:00,RTO,1067.277
9/28/2020 14:00,9/28/2020 10:00,RFC,1063.45
9/28/2020 13:00,9/28/2020 9:00,MIDATL,145.758
9/28/2020 13:00,9/28/2020 9:00,SOUTH,28.753
9/28/2020 13:00,9/28/2020 9:00,WEST,817.001
9/28/2020 13:00,9/28/2020 9:00,RTO,991.512
9/28/2020 13:00,9/28/2020 9:00,RFC,962.759
9/28/2020 12:00,9/28/2020 8:00,MIDATL,221.047
9/28/2020 12:00,9/28/2020 8:00,SOUTH,33.506
9/28/2020 12:00,9/28/2020 8:00,WEST,882.043
9/28/2020 12:00,9/28/2020 8:00,RTO,1136.596
9/28/2020 12:00,9/28/2020 8:00,RFC,1103.09
9/28/2020 11:00,9/28/2020 7:00,MIDATL,229.734
9/28/2020 11:00,9/28/2020 7:00,SOUTH,45.595
9/28/2020 11:00,9/28/2020 7:00,WEST,723.81
9/28/2020 11:00,9/28/2020 7:00,RTO,999.139
9/28/2020 11:00,9/28/2020 7:00,RFC,953.544
9/28/2020 10:00,9/28/2020 6:00,MIDATL,177.589
9/28/2020 10:00,9/28/2020 6:00,SOUTH,40.676
9/28/2020 10:00,9/28/2020 6:00,WEST,737.954
9/28/2020 10:00,9/28/2020 6:00,RTO,956.219
9/28/2020 10:00,9/28/2020 6:00,RFC,915.543
9/28/2020 9:00,9/28/2020 5:00,MIDATL,141.831
9/28/2020 9:00,9/28/2020 5:00,SOUTH,41.973
9/28/2020 9:00,9/28/2020 5:00,WEST,788.356
9/28/2020 9:00,9/28/2020 5:00,RTO,972.16
9/28/2020 9:00,9/28/2020 5:00,RFC,930.187
9/28/2020 8:00,9/28/2020 4:00,MIDATL,149.742
9/28/2020 8:00,9/28/2020 4:00,SOUTH,55.697
9/28/2020 8:00,9/28/2020 4:00,WEST,837.795
9/28/2020 8:00,9/28/2020 4:00,RTO,1043.234
9/28/2020 8:00,9/28/2020 4:00,RFC,987.537
9/28/2020 7:00,9/28/2020 3:00,MIDATL,152.273
9/28/2020 7:00,9/28/2020 3:00,SOUTH,51.678
9/28/2020 7:00,9/28/2020 3:00,WEST,1314.691
9/28/2020 7:00,9/28/2020 3:00,RTO,1518.642
9/28/2020 7:00,9/28/2020 3:00,RFC,1466.964
9/28/2020 6:00,9/28/2020 2:00,MIDATL,135.376
9/28/2020 6:00,9/28/2020 2:00,SOUTH,64.434
9/28/2020 6:00,9/28/2020 2:00,WEST,1778.602
9/28/2020 6:00,9/28/2020 2:00,RTO,1978.412
9/28/2020 6:00,9/28/2020 2:00,RFC,1913.978
9/28/2020 5:00,9/28/2020 1:00,MIDATL,148.244
9/28/2020 5:00,9/28/2020 1:00,SOUTH,34.451
9/28/2020 5:00,9/28/2020 1:00,WEST,1722.887
9/28/2020 5:00,9/28/2020 1:00,RTO,1905.582
9/28/2020 5:00,9/28/2020 1:00,RFC,1871.131
9/28/2020 4:00,9/28/2020 0:00,MIDATL,160.828
9/28/2020 4:00,9/28/2020 0:00,SOUTH,10.814
